index,키워드,키워드_빈도,포함_인물_수,포함_문장_수,포함_문장
10,소각,146,31,1,"공산주의에 공명하여 조선독립 빛 공산제 사회 실현을 위해 비밀결사를 조직, 가입하고 강령 등을 만들고 문서 등을 소각하는 등 소요를 일으켰다."
11,강령,146,31,1,"공산주의에 공명하여 조선독립 빛 공산제 사회 실현을 위해 비밀결사를 조직, 가입하고 강령 등을 만들고 문서 등을 소각하는 등 소요를 일으켰다."
12,공명,146,31,1,"공산주의에 공명하여 조선독립 빛 공산제 사회 실현을 위해 비밀결사를 조직, 가입하고 강령 등을 만들고 문서 등을 소각하는 등 소요를 일으켰다."
13,태극기,145,128,60,"독립기와 태극기를 흔들며 조선독립만세를 외치며 시위운동을 하였다.
독립선언서 등의 독립의 취지를 기재한 격문, 독립가 등 태극기 한가마를 광주생도들에게 배포하고 수천의 군중과 함께 광주천변에서 태극기를 흔들며 조선독립만세를 고창하면서 시내를 행진하였다. 
태극기를 제작하여 동 읍내에 집합할 것을 돌아다니며 접촉, 독려하여 주민 약 300명과 같이 태극기를 들고 군중을 인솔하여 함께 조선독립만세를 절규하였다.
태극기를 흔들며 한국독립만세를 외치며 행진하였다.
교내에서 태극기를 제작하는 등 독립만세 운동을 준비하였다.
시장에서 거행된 조선독립만세 운동에 가입하여 태극기를 흔들며 조선독립만세를 외쳤다.
부구리 시장에서 군중들과 같이 독립만세시위운동으로 태극기를 흔들며  독립만세를 외치며 행진을 하였다.
군중과 함께 태극기를 들고 조선독립만세를 외치며 독립시위운동을 하였다.
예수교인으로 한국독립만세시위운동으로 태극기를 흔들며 대한독립만세를 고창하였다.
태극기 120본을 만들어 서부동 시장에서 농민, 군중을 모아 태극기를 배부하고 독립만세를 고창하며 선동 권유하였다.
임피시장에서 태극기를 흔들면서 조선독립만세를 부르기로 결정하고 태극기를 제작하였다.
태극기, 독립선언서, 독립가를 제작하고 인쇄하여 강진시장에서 태극기, 독립선언서, 독립가를 군중에게 뿌렸고 각자 태극기를 흔들며 군중을 선동하여 조선독립만세를 외쳤다.
군중과 함께 태극기를 흔들며 독립만세를 고창하였다.
독립만세운동으로 강진면 장날에 시위운동을 하기로 하고 은밀히 독립운동에 관한 선언서의 초안을 작성하였고  태극기 제작비로 금 2원을 각출하여 태극기를 제작하였다.
경주읍 장날에 많은 군중들과 같이 태극기를 흔들며 대한독립만세를 고창하였다.
명호시장에서 태극기를 흔들며 약 50명의 군중과 같이 독립시위운동으로 조선독립만세를 고창하였다. 
태극기를 흔들며 독립만세를 외쳤다.
조선독립을 희망하던 중 1919년 3월 3일 오후 대한제국 태극기를 들고 조선독립만세를 부른 자이다.
조선인 다중과 함께 조선독립만세시위운동으로 태극기를 제작하여 마을 주민과 같이 태극기를 흔들며 마을을 돌며 대한독립만세를 외쳤다.
태극기를 들고 조선독립만세를 고창하였다.
윤주섭외 50여명을 선동 태극기를 앞세우고 조선독립만세를 부르며 횡행 치안을 방해한 자이다.
독립시위운동으로 태극기를 제작하여 진영리 시장에서 게양하고 군중들에게 태극기를 배포, 선동하여 독립만세를 고창하였다.
봉영화가 태극기를 만들다며 광목을 청구하여 내주었다.
한국독립시위운동을 위하여 태극기를 제작하여 한국독립만세를 부르자 선동하였다.
예수교회에서 경주읍 장날에 많은 사람을 규합하여 태극기를 흔들며 대한독립만세 시위운동을 하기로 결의하고 태극기를 제작하여 장날 많은 군중과 함께 대한독립만세를 고창하였다.
완전동 노영수의 집에 모여 태극기를 게양하고 한국독립만세를 고창하였다.
1919년 3월 18일  태극기 20본을 만들어 3월 19일 유천리에서 조선독립만세를 부른 자이다.
태극기를 흔들며 조선독립만세를 고창하였다.
태극기를 제작하여 흔들며 군중들과 함께 조선독립만세시위운동을 하였다.
태극기를 들고 군중과 함께 조선독립만세를 고창하였다.
태극기 30매를 들고나가 흔들며 주민을 선동 약400여명의 군중과 함께 조선독립만세를 불러 치안을 방해한 자이다.
1919년 3월 30일 해주 남문내 종로통에서 군중 약 100여명과 태극기를 흔들며 조선독립만세를 부른 자이다.
독립만세운동을 할것을 선동하며 제작한 태극기를 나누어 주었다.
군중을 선동하여 태극기를 흔들며 지휘하고 독립만세를 외쳤다.
태극기 1폭, 종이로먼든 태극기 20매, 독립선언서 40매를 입수 이를 배포 군중 300여명과 함께 조선독립만세를 불러 치안을 방해한 사실이 있는 자이다.
학교 내에서 독립선언서, 태극기를 배포하였고 독립깃발을 앞세우고 태극기를 흔들며 독립만세를 면 각지를 행진하였다.
예수교인으로 한국독립만세시위운동으로 태극기를 제작하고 대한독립만세라고 써서 의성시장에서 태극기를  흔들며 대한독립만세를 고창하였다.
선언서와 태극기를 시장에 모인 군중에 전달하였다.
군중이 조선독립만세를 제창하자 기쁜마음에 집 앞 도로에 나가 태극기를 양손에 쥐고 조선독립만세를 불렀다.
태극기를 만들어 읍내 장날을 기하여 태극기를 흔들며 함께 조선독립만세를 고창하며 서문 외까지 행진하고 제지하는 보초병을 세차게 제치고 함께 서문 내로 들어와 많은 조선인을 선동하여 조선독립만세를 고창하며 소요를 일으켰다.
주민 20여명을 취합하여 태극기를 들고 독립만세를 고창하며 율동산으로 행진하였다.
윤주영 등과 공모하여 군중을 선동, 태극기를 흔들고 군중과 함께 독립만세를 불렀고, 위의선언서 7통, 태극기 9매를 제작하여 시장에서 군중에게 선언서를 낭독하고 조선독립만세를 부르자고 선동하고 태극기를 흔들며 약 50명여명과 같이 조선독립만세를 외쳤다.
군중과 독립만세를 고창하고  태극기 제작용 옥양목을 제공하기도 하였고 만세운동을 권리라고 하였다.
제천장날 군중을 선동, 태극기를 배부하고 조선독립만세를 부르며 시위운동을 하려고 태극기 약 1200개를 만들었다.
태극기도로 '조선이 독립국이 되면 조선왕은 윤상명이 될 것을 신이 꿈에서 말하였다.'하였다.
이종국 집에서 태극기 2개를 마들고, 주민을 선동하여 조선독립만세를 부르자는 뜻을 알리고, 물류시장에서 군중 수백 명을 지휘하여 태극기를 앞세우고 조선독립만세를 불렀고,  다음날 양양읍 시장에서 태극기를 앞세우고 군중과 같이 조선독립만세를 외쳤다.
1919 3월 12일 은율군 장연면에서 태극기를 들고 다중과 조선독립만세를 불러 치안을 방해 한 자이다.
태극기를 흔들고 조선 독립만세를 절규하였다.
태극기 재료를 부탁 대금 1원 80전을 지불하고 군중과 함께 조선독립만세를 선창하는 등 안녕질서를 방해하였다.
대한독립만세라고 태극기를 제작하여 경부선 철로 옆에 걸었다.
태극장, '대한독립만세'라고 쓴 태극기 한 폭을 제작하여 경부철도 길옆에 게양하였다.
시장에 모인 군중들과 함께 태극기를 흔들며 대한독립만세를 외치며 시위운동을 하였다.
독립만세시위운동으로 선동하여 예안시장에서 군중의 틈을 노려 태극기를 휘두르며 독립만세를 외쳤다.
경주읍 장날에 많은 사람을 규합하여 태극기를 흔들며 대한독립만세 시위운동을 하기로 박문홍한테서 태극기를 받아 배부하고, 군중과 함께 대한독립만세를 고창하였다.
독립만세시위운동자들에게 제작한 태극기를 나누어 주었다.
태극기를 제작하여 자기 집에다 걸고 동민 약 10명을 불러 독립만세를 불렀다.
경주읍 장날에 많은 사람을 규합하여 태극기를 흔들며 대한독립만세 시위운동을 하기로 박문홍에게서 태극기를 받아 배부하다 경찰에게 체포되었다.
태극기를 작성하여 경부선 철로 옆에 걸었다.
군중을 동원 독립만세, 시위운동을 하기로하고 태극기를 제작하여 나누어 주었고 관암봉 정상에 태극기를 세우는 등 조선독립운동을 하였다.
태극기를 만들어 동화사를 출발 깃대를 앞세우고 혼잡한 덕산정 시장에서 군중 속으로 행진하며 태극기를 흔들며 독립만세를 고창하였다. "
14,시위운동,141,111,45,"군중들과 같이 선동하여 독립만세시위운동으로 독립만세를 고창하였다.
와우형산에서 조선독립시위운동의 목적으로 주민들과 함께 조선독립만세를 외쳤다.
독립만세시위운동에 가담하여 면장을 구타하고, 일장기를 소각시키다.
군중과 함께 조선독립시위운동 방법으로 조선독립만세를 외쳤다.
군중들과 함께 조선독립만세를 부르며 경선부내를 독립시위운동을 하였다.
다중을 모아 조선독립 시위운동을 기도하고 1000여 군중과 함께 조선독립만세를 불렀다.
제천시장에서 군중을 선동하여 독립만세시위운동으로 독립만세를 고창하였다.
다중을 규합하여 조선독립시위운동으로  화천시장 장날 독립시위운동을 한다고 박장록에게 전하였다.
한국독립만세시위운동으로 군중들과 같이 대한독립만세를 고창하였다.
조선독립만세를 외치며 조선독립시위운동을 할 것을 선동하였다.
평북 자성군 여연면 중상동에서 수많은 군중과 조선독립만세를 부르며 시위운동을 하여 치안을 방해 한 자이다.
한국독립의 시위운동이 행해지는 것을 알리고 청도군 유천장날 학생청년 등이 시장에 모인 사람과 함께 독립만세를 소리 높여 부르고 시위운동을 행하기로 선동하였다. 
송문수 등과 공모하여 포항동에서 조선독립 시위운동을 하려고 하였다.
군중과 함께 태극기를 들고 조선독립만세를 외치며 독립시위운동을 하였다.
시장의 군중과 같이 조선독립만세를 외치며 시위운동을 하였다.
천도교 교구장으로 손병희등의 독립선언서를 교부 받고 수안군에서도 경성의 만세운동과 같이 선언서를 바포하고 다중이 모여 시위운동을 전개하기로 하고 수안읍 부근의 천도교 신도 등 약140여명의 군중을 모아 3월 3일 시위운동을 하여 치안을 방해한 자이다.
독립만세 시위운동의 군중과 같이 한국독립만세를 외쳤다.
1919년 3월 23일 평북 자성군 여연면 중상동에서 수많은 군중과 조선독립만세를 부르며 시위운동을 하여 치안을 방해 한 자이다.
조선독립시위운동을 실행하기로 협의하여 용궁공립보통학교 기숙사에서 용궁읍내 주민들을 조선독립시위운동에 참가하라고 선동하였다.
태극기를 제작하여 흔들며 군중들과 함께 조선독립만세시위운동을 하였다.
군중들과 함께 조선독립만세를 외치며 읍내를 돌며 시위운동을 하였다.
독립시위운동을 모의하여 약 2천명의 군중과 함께 조선독립만세를 외쳤다.
군중과 독립만세를 부르며 읍내로 데리고 가서 독립시위운동을 하며 허병분견소에 돌을 던지고 폭언, 폭행을 하였다.
독립만세시위운동으로 군중들과 같이 독립만세를 고창하였다.
조선독립시위운동으로 동민을 선동하여 모범림, 야사동민 약 40명에게 조선독립시위운동을 하러 영천경찰서에 가서 독립만세를 부르자 선동하였다.
조선독립시위운동을 선동하는 인쇄물을 배포하였다.
군중 수천 명의 그들과 함께 조선독립만세를 연이어 부르며 독립시위운동을 하였다.
3.1운동으로 파고다공원에서 한국독립시위운동으로 군중과 같이 독립만세를 연호하였고, 동화사에서 지방학림생도들에게 각지에서 기독교, 천도교도, 학생 등이 한국독립만세를 외치는데, 독립시위운동 할 것을 선동 권유하였다.
파고다 공원에서 한국독립만세를 외치며 시위운동을 하였고 동화사 부속 지방학림생도들에게 독립만세시위운동을 할 것을 권유하고 선동하였다.
독립시위운동에 가담하여 독립만세를 고창하였다.
마을 주민을 독립시위운동에 참가하자고 선동하여 문암리시장에서 조선독립시위운동을 하였다.
조선독립시위운동을 위하여 군중과 함께 조선독립만세를 고창하였다.
장기리 시장 독립시위운동에 가담하여 조선독립만세를 창화하였다.
시장에 조선독립시위운동을 하기 위하여 모인 군중 속에 들어가 다중과 함께 조선독립만세를 고창하였다.
군중들과 함께 조선독립만세를 부르며 경성부내를 독립시위운동을 하였다.
군중과 같이 조선 독립시위운동의 방법으로 조선독립만세를 고창하였다.
독립시위운동에 가담하도록 교사하였다.
독립만세시위운동으로 선동하여 예안시장에서 군중의 틈을 노려 태극기를 휘두르며 독립만세를 외쳤다.
다수인을 선동하여 독립시위운동을 하기로 독립선언서를 등사하고 독립시위운동할 것을 선동하였다.
조선독립시위운동에 참가하여 만세를 불렀다.
군중과 같이 독립시위운동으로 조선독립만세를 고창하였다. 
독립만세시위운동자들에게 제작한 태극기를 나누어 주었다.
조선독립의 목적으로 시위운동을 하였다.
기독교도로 독립만세시위운동으로 약목시장 장날 시위운동을 하기로 권유, 선동하였다.
군중들과 같이 독립만세시위운동으로 독립만세를 고창하였다."
15,기물,138,30,6,"300여명의 군중과 같이 대한독립만세를 외치며 관공서 기물을 파괴하였다.
성내동 시장에서 군중과 태극기를 휘날리며 한국독립만세를 외치며 행진하였고 각 관공서를 습격하여 기물을 파괴, 훼손하였다.
수 백 명 군중과 함께 조선독립만세를 졸규하며, 관공서에 난입하여 비품, 집기물을 파괴하였다.
2천여명의 군중과 함께 한국독립만세를 부르며 읍내 관공서를 습격하여 기물을 파괴하고 협박을 하였다.
태극기 제거자에게 구타, 기물훼손을시키다.
소이면장을 협박하여 독립만세를 부르도록하고 주재소의 기물을 파괴하다."
16,집합,128,36,7,"천도교도로 태극기 2매를 만들어 미명읍내로 집합하라고  알리고, 주민 3백 여명을 집합시켜 태극기를 흔들며 군중을 인솔하여 조선독립만세를 외치며 절규하였다.
편항시장으로 집합 500여명의 군중과 함께 조선독립만세를 고창하고 관공서를 습격 난입하여 건물파괴, 비품 훼기하였다. 
집합한 다수의 군중과 함께 한국독립만세를 불렀다.
풍물을 두드려 주민을 집합시켜 구인리, 길상리 뒷산에서 조선독립만세를 외쳤다.
김명규 집에서 밀회하여 최영익에게 집필시켜 '조선독립시위운동을 거행하기 위해 집합해야 한다.'라는 글을 작성하여 각 집마다 회송하여 다음 날 면사무소 앞에 5백 여명을 소집하여 조선독립만세를 절규하며 외쳤다.
주민 2백여명을 인솔하여 대대리에 집합시키고 조선독립만세를 고창하였다.
홍대성, 홍학성과 같이 주민을 집합 하게하여 거주지면 면사무소 뒤편 고지에 주민 약40명을 규합하여 조선독립만세를 외쳤다."
17,출자,123,77,1,치성비를 출자하고 일대집단을 조직하여 국권회복운동을 결의하여 교주 차경석이1924년 갑자년에 계룡산에 도읍을 정하고 제위에 올라 독립조선을 통치할 것이라고 망상하고 선전하였다.
18,도읍,123,77,1,치성비를 출자하고 일대집단을 조직하여 국권회복운동을 결의하여 교주 차경석이1924년 갑자년에 계룡산에 도읍을 정하고 제위에 올라 독립조선을 통치할 것이라고 망상하고 선전하였다.
19,제위,123,77,1,치성비를 출자하고 일대집단을 조직하여 국권회복운동을 결의하여 교주 차경석이1924년 갑자년에 계룡산에 도읍을 정하고 제위에 올라 독립조선을 통치할 것이라고 망상하고 선전하였다.
20,훼기,122,24,2,"편항시장으로 집합 500여명의 군중과 함께 조선독립만세를 고창하고 관공서를 습격 난입하여 건물파괴, 비품 훼기하였다. 
성내동 장날 군중과 태극기를 흔들고 만세를 창화하며 관공서에 침입하여 건물파괴, 문서훼기, 순사를 폭행하였다."
21,건물,122,24,2,"편항시장으로 집합 500여명의 군중과 함께 조선독립만세를 고창하고 관공서를 습격 난입하여 건물파괴, 비품 훼기하였다. 
성내동 장날 군중과 태극기를 흔들고 만세를 창화하며 관공서에 침입하여 건물파괴, 문서훼기, 순사를 폭행하였다."
22,동맹,121,45,7,"중국공산당, 조선공산당에 입당하여 혁명위원회, 농민협회, 청년동맹, 반제국주의동맹 등 비밀결사를 조직하고 관헌밀정을 살해하고 금품을 강취하였다.
조선인 독립과 공산주의화를 위해 조선인해방투쟁동맹, 계림공진회, 해방동맹의 세포단체결성 및 MH조직 등 비밀결사를 조직하였고 그 기관지 화선, 공진 등을 인쇄, 배포한 자이다.
마르크스 주의강의를 듣고 공산주의에 공명, 공산제도를 실현하여 조선을 독립시킬 목적으로 신우동맹, 혁우동맹회, 야체-가, 구화회 등의 비밀결사를 조직하여 강령을 만들어 동맹휴교 등을 협의하였다.
상해한인독립운동청년동맹의 의장이 되어 조선의 독립을 성취하고 민주공화국을 세울 것을 목적으로 “상해대한민국청년당”을 조직하고, “만보산 사건”을 해결하였으며,  김구, 김철등과 한중민족이 연합하여 일본에 대항, 중국의 실지회복과 조선의독립을 목적으로 “한중민족항일대동맹”이라는 결사를 조직하였다.
안동청년동맹에 가입, 공산주의제도 실현 목적으로 비밀결사조직을 모의하였다. 
안동청년동맹 예안지부 서울청년회 경성중앙청년동맹에 가입  좌익운동의 총 지도기관으로서 안동 「고무그룹」이라고 칭하는 비밀결사를 조직 동지획득에 노력하였다.
공산사회실현을 목적으로 한인독립운동자동맹에 가입하였고 상해한인청년동맹이라는 결사를 조직하여 의무적으로 한인 독립운동자 동맹에 가맹하고 이를 지지하여 메이데이 반전데이 국제무산데이의 시위운동에 참가하였고 부산지방 혁명적 노동단체인 부산적색노동조합 건설 준비 위원회를 조직할 것을 협의하였다."
23,훼손,121,18,2,"성내동 시장에서 군중과 태극기를 휘날리며 한국독립만세를 외치며 행진하였고 각 관공서를 습격하여 기물을 파괴, 훼손하였다.
태극기 제거자에게 구타, 기물훼손을시키다."
24,군중,120,71,43,"군중과 같이 조선독립만세를 고창하였다.
성주읍내 시장에서 군중과 함께 조선독립만세를 외쳤다.
언양읍 장날 군중과 함께 조선독립만세를 고창하였다.
국권회복의 시위운동을 위해 구한국기를 게양하고 조선독립만세를 외치며 군중을 선동 수시명의 군중과 만세를 부르고 피고인들 및 다른 군중 1000여명과 만세를 오치자 이를 제지하기위해 동소에온 순사부장 야구광삼 등이 홍면외 10인을 체포하려하자 순사들에게 폭행을 가하며 때려죽이라 절규허며 군중을 선동,지휘 도주하는 야구광삼을 살해한 자이다.
국권회복의 시위운동을 위해 구한국기를 게양하고 조선독립만세를 외치며 군중을 선동 수시명의 군중과 만세를 부르고 피고인들 및 다른 군중 1000여명과 만세를 오치자 이를 제지하기위해 동소에온 순사부장 야구광삼 등이 홍면외 2인을 체포하려하자 순사들에게 폭행을 가하며 때려죽이라 절규허며 군중을 선동,지휘 도주하는 야구광삼을 살해한 자이다.
군중과 같이 독립만세운동을 하였다.
조선독립만세를 외치는 군중과 만나 이들과 면사무소에 갔다가 즉시 직장에 갓 집무를 하였다.
군중과 함께 조선독립만세를 고창하였다.
국권회복의 시위운동을 위해 구한국기를 게양하고 조선독립만세를 외치며 군중을 선동 수시명의 군중과 만세를 부르고 피고인들 및 다른 군중 1000여명과 만세를 오치자 이를 제지하기위해 동소에온 순사부장 야구광삼 등이 홍면외 11인을 체포하려하자 순사들에게 폭행을 가하며 때려죽이라 절규허며 군중을 선동,지휘 도주하는 야구광삼을 살해한 자이다.
군중과 함께 태극기를 흔들며 독립만세를 고창하였다.
길안시장에서 군중과 함께 조선독립만세를 외치고 관공서를 습격하여 비품을 부수고 군중을 솔선하여 폭행을 하였다.
약 200여명의 면민이 몽둥이를 가지고 면사무소에 모이자 군중 앞에 서서 조선독립의 목적을 달성하려면 결사적으로 독립운도을 하여야 한다고 연설 군중을 격려하자 군중들은 즉시 독립만세를 부르며 면사무소 일부를 파괴하고 군중이 점점 늘어 1000여명의 대집단이 되자 경찰관 주재소에 방화하고 순사를 참살하는 등의 소요에 솔선 군중을 지휘한자 들이다.
조선독립만세를 외치며 군중과 함께 행진을 하였다.
좌천리 시장에서 군중에게 조선독립시위운동을 행하도록 군중을 선동하여 군중과 같이 대한독립만세를 외치며 행진하였다.
조선인으로서 군중과 함께 조선독립만세를 불렀다.
수교 시장에서 다수의 군중과 조선독립만세를 불렀다.
군중이 조선독립만세를 호창함에 이에 참가하여 고창하였다.
조선독립시위운동을 목적으로 군중과 함께 직동으로부터 동리 동지화동에 모인 수 십 명의 군중과 함께 조선독립만세를 절규하였다.
1919년 3월 3일 봉산군 사원면 사리원에서 수백명의 군중과 함께 조선독립만세를 한 자이다.
읍내시장에 모인 군중과 함께 한독독립만세를 외쳤다.
국권회복의 시위운동을 위해 구한국기를 게양하고 조선독립만세를 외치며 군중을 선동 수시명의 군중과 만세를 부르고 피고인들 및 다른 군중 1000여명과 만세를 오치자 이를 제지하기위해 동소에온 순사부장 야구광삼 등이 홍면외 16인을 체포하려하자 순사들에게 폭행을 가하며 때려죽이라 절규허며 군중을 선동,지휘 도주하는 야구광삼을 살해한 자이다.
태극기를 들고 군중과 함께 조선독립만세를 고창하였다.
국권회복의 시위운동을 위해 구한국기를 게양하고 조선독립만세를 외치며 군중을 선동 수시명의 군중과 만세를 부르고 피고인들 및 다른 군중 1000여명과 만세를 오치자 이를 제지하기위해 동소에온 순사부장 야구광삼 등이 홍면외 14인을 체포하려하자 순사들에게 폭행을 가하며 때려죽이라 절규허며 군중을 선동,지휘 도주하는 야구광삼을 살해한 자이다.
피고는 취야 시장에서 군중과 조선독립만세를 부른 자이다.
다수 군중과 함께 독립만세를 창화하였다.
많은 군중과 함께 조선독립만세를 고창하였다.
문앞에서 독립축하라고 외쳐 군중과 함께 조선독립만세를 외쳤다.
군중과 같이 독립만세를 고창하였다.
군중들과 같이 조선독립만세를 고창하였다.
윤주영 등과 공모하여 군중을 선동, 태극기를 흔들고 군중과 함께 독립만세를 불렀고, 위의선언서 7통, 태극기 9매를 제작하여 시장에서 군중에게 선언서를 낭독하고 조선독립만세를 부르자고 선동하고 태극기를 흔들며 약 50명여명과 같이 조선독립만세를 외쳤다.
은파시장에서 군중과 함께 조선독립만세를 불렀다.
문장리시장에서 군중과 함께 조선독립만세를 외쳤다.
조선독립만세를 외치고, 이완용을 잠복시킨 것을 알고, 군중과 같이 협박을 하였다.
군중 600명과 함께 조선독립만세를 외쳤다.
시가에서 친구와 산보 중 수백의 군중이 모여 조선독립을 선언하기에 만세 일성을 따라 불렀다.
군중들과 독립만세를 고창하였다.
조선민족으로 군중과 함께 조선독립만세를 불렀다.
군중과 함께 독립만세를 외쳤다.
태극기를 군중들에게 배포하고 대한독립만세라고 쓴 깃발을 흔들며 군중들과 함께 조선독립만세를 고창하였다.
군중이 조선독립만세를 호창하여 조선인으로서 함께 호창하였다.
1919년 3월 3일 봉산군 사원면 사리원에서 수백명의 군중과 함께 국기를 들고 조선독립만세를 주창한 자이다.
1919년 3월 3일 봉산군 사원면 사리원에서 수백명의 군중과 함께 국기를 들고 조선독립이 확정되자 만세를 한 자이다.
국권회복의 시위운동을 위해 구한국기를 게양하고 조선독립만세를 외치며 군중을 선동 수시명의 군중과 만세를 부르고 피고인들 및 다른 군중 1000여명과 만세를 오치자 이를 제지하기위해 동소에온 순사부장 야구광삼 등이 홍면외 20인을 체포하려하자 순사들에게 폭행을 가하며 때려죽이라 절규허며 군중을 선동,지휘 도주하는 야구광삼을 살해한 자이다."
